Dimensions,Runtime of Generator (s),Runtime of Solver (s),Peak Memory Usage During Maze Generation (MiB),Peak Memory Usage During Maze Solving (MiB)
5x5,0.5103899999521673,0.49049289990216494,23.109375,23.125
10x10,0.8309126002714038,0.4981014998629689,23.15625,23.1640625
15x15,0.7859835000708699,0.4755161995999515,23.2109375,23.2265625
20x20,0.817155500408262,0.48984129959717393,23.3046875,23.31640625
25x25,0.8231346001848578,0.5046481001190841,23.3828125,23.42578125
30x30,0.8019338003359735,0.4897727998904884,23.49609375,23.52734375
35x35,0.691008800175041,0.48599909991025925,23.6328125,23.75390625
40x40,0.8322454998269677,0.5307037001475692,23.875,24.0546875
45x45,0.8198779998347163,0.49690100038424134,24.16796875,24.3203125
50x50,0.7011578003875911,0.5521742003038526,24.3828125,24.65625
55x55,0.8126468998380005,0.5625292998738587,24.65625,25.12890625
60x60,0.8503789999522269,0.46424350002780557,24.765625,25.45703125
65x65,0.8028333000838757,0.5143773998133838,25.05859375,25.5078125
70x70,0.842291499953717,0.6054376000538468,25.25,25.62109375
75x75,0.9211169998161495,0.46073989989235997,25.375,26.55859375
80x80,0.6658418998122215,0.3761259997263551,25.79296875,27.48046875
85x85,0.8991177999414504,0.3934249999001622,26.3828125,27.7421875
90x90,0.6633119997568429,0.5020033000037074,26.75390625,27.44921875
95x95,0.9685939997434616,0.5262968000024557,27.08203125,28.11328125
100x100,0.5938582001253963,0.6371118002571166,27.48828125,29.0
150x150,0.6887786998413503,0.6851762998849154,31.1015625,36.671875
200x200,0.45321330009028316,0.5851766001433134,38.1171875,43.546875
250x250,0.6168314996175468,1.224823800381273,45.8515625,57.234375
300x300,0.8165946998633444,1.9381440998986363,56.9609375,76.98046875
350x350,1.0298212999477983,3.4182051001116633,69.80078125,96.91015625
400x400,1.3905603997409344,1.5172659996896982,84.05078125,102.31640625
450x450,1.7916939998976886,4.402569099795073,101.06640625,143.6953125
500x500,2.421557600144297,4.308106299955398,119.125,162.77734375
550x550,2.8347113002091646,6.850925500039011,140.625,197.33203125
600x600,3.3539522998034954,3.5012777000665665,163.23046875,222.28515625
650x650,3.9929059999994934,10.30092650000006,186.78125,280.3515625
700x700,4.437690400052816,15.066163800191134,213.3984375,336.02734375
750x750,4.980934999883175,9.64892669999972,240.40625,336.1796875
800x800,5.745418100152165,9.250667900312692,270.7265625,362.90234375
850x850,6.702208800241351,16.173283000010997,302.46484375,470.24609375
900x900,7.343123199883848,11.755876800045371,336.0859375,484.5234375
950x950,7.9335548998788,18.84489669976756,372.17578125,555.65625
1000x1000,8.939247400034219,17.59680479997769,412.15625,593.60546875
