Dimensions,Runtime of Generator (s),Runtime of Solver (s),Peak Memory Usage During Maze Generation (MiB),Peak Memory Usage During Maze Solving (MiB)
5x5,0.7117341998964548,0.49195599975064397,23.60546875,23.61328125
10x10,0.59018350020051,0.49258740013465285,23.64453125,23.65234375
15x15,0.8142725001089275,0.4501233003102243,23.70703125,23.71484375
20x20,0.8184278998523951,0.491662900429219,23.77734375,23.79296875
25x25,0.8181000999175012,0.504680700134486,23.8671875,23.94140625
30x30,0.8041819999925792,0.509485200047493,24.01171875,24.07421875
35x35,0.8186428998596966,0.5256121996790171,24.1875,24.28125
40x40,0.8293653000146151,0.5298056001774967,24.390625,24.6796875
45x45,0.8079172000288963,0.515340399928391,24.7109375,24.7734375
50x50,0.4687664001248777,0.5279135997407138,24.87109375,24.98046875
55x55,0.6003888002596796,0.5853478000499308,25.0703125,25.47265625
60x60,0.5974832996726036,0.5323532996699214,25.0859375,25.58984375
65x65,0.8233548002317548,0.5756326001137495,25.59375,25.9921875
70x70,0.8035902003757656,0.46283529978245497,25.53515625,26.3203125
75x75,0.839570099953562,0.303231299854815,25.92578125,27.10546875
80x80,0.8103181999176741,0.3938988000154495,26.28125,27.8046875
85x85,0.6969348001293838,0.33273870032280684,26.7421875,27.625
90x90,1.0133930002339184,0.36417629988864064,26.953125,28.1015625
95x95,0.8790859999135137,0.40025420021265745,27.4296875,29.1015625
100x100,0.8205876997672021,0.3094850000925362,28.02734375,28.84765625
150x150,0.6510641002096236,0.3662573997862637,32.0078125,35.48046875
200x200,0.915981600061059,0.5099229998886585,38.546875,46.1640625
250x250,0.9979889998212457,0.6488459999673069,45.5546875,58.51953125
300x300,0.4114941000007093,0.8025472001172602,57.8515625,78.21484375
350x350,0.5133365001529455,0.6213480997830629,69.6015625,86.71484375
400x400,0.6576090999878943,1.298046600073576,85.12890625,112.80078125
450x450,0.7913408000022173,1.586739799939096,101.01171875,143.97265625
500x500,0.9415413001552224,1.154255200177431,120.453125,155.91796875
550x550,1.1361578004434705,2.7530355998314917,140.5859375,201.78515625
600x600,1.3250307999551296,1.9981078999117017,163.3515625,229.83203125
650x650,1.52055780030787,1.6976803001016378,186.01953125,253.6953125
700x700,1.7616566000506282,3.735106499865651,213.328125,308.29296875
750x750,1.9247388001531363,3.6937393001280725,238.859375,335.43359375
800x800,2.232827799860388,3.469652900006622,272.3828125,364.69140625
850x850,2.547835700213909,2.630383299663663,301.3515625,425.0625
900x900,2.9013891997747123,5.06104060029611,337.52734375,501.703125
950x950,3.162562600336969,4.245474900119007,373.90234375,520.44140625
1000x1000,3.5145336003042758,5.744615000206977,411.4765625,585.23828125
1500x1500,8.772405600175261,14.084613800048828,897.36328125,1276.5859375
2000x2000,13.768259100150317,23.270037400070578,1580.00390625,2288.33984375
2500x2500,20.81980110006407,77.46139709977433,2460.3671875,4435.26953125
3000x3000,30.843944400083274,49.02751190029085,3538.9453125,5008.6953125
3500x3500,42.71515960013494,51.52023010002449,4803.890625,7025.69140625
4000x4000,54.00572260003537,112.27271640021354,6275.3828125,8783.37890625
4500x4500,69.3539744997397,247.28759119985625,7925.34375,10572.58203125
5000x5000,87.80352309998125,147.6274896999821,9784.375,11463.55859375
5500x5500,183.26726000010967,1148.870918800123,11099.7109375,11513.8671875
6000x6000,187.02237869985402,946.5297044999897,10844.46484375,11753.125
6500x6500,370.99841219978407,2087.0074803000316,11385.8203125,11631.5703125
7000x7000,214.42283250018954,2226.9909667000175,11414.3125,11470.01953125
7500x7500,256.37004549987614,3404.3591630002484,11509.73046875,11657.7421875
8000x8000,369.84558039996773,2127.8224127003923,11294.59375,11068.2265625
