Dimensions,Runtime of Generator (s),Runtime of Solver (s),Peak Memory Usage During Maze Generation (MiB),Peak Memory Usage During Maze Solving (MiB)
5x5,0.7027916996739805,0.5091744000092149,23.46875,23.48046875
10x10,0.48536840034648776,0.4681076998822391,23.51171875,23.51953125
15x15,0.8232328998856246,0.48267600033432245,23.5703125,23.578125
20x20,0.7912373999133706,0.4623083001933992,23.64453125,23.66015625
25x25,0.8577330000698566,0.5055117998272181,23.74609375,23.78125
30x30,0.5194689999334514,0.5470365998335183,23.8671875,23.9921875
35x35,0.8437540996819735,0.5132247000001371,24.0859375,24.18359375
40x40,0.6114138998091221,0.5461551998741925,24.28515625,24.578125
45x45,0.7026721001602709,0.5374436001293361,24.59765625,24.70703125
50x50,0.867056000046432,0.5506062000058591,24.76953125,24.95703125
55x55,0.811466199811548,0.5387996002100408,25.01953125,25.29296875
60x60,0.5997533998452127,0.44092890014871955,24.953125,25.6015625
65x65,0.5978267998434603,0.4303086996078491,25.6015625,25.890625
70x70,0.8226163000799716,0.5471371002495289,25.4296875,26.140625
75x75,0.517629100009799,0.3367650001309812,25.69921875,27.03125
80x80,0.7445901003666222,0.36662659980356693,26.36328125,27.72265625
85x85,0.6169298999011517,0.315801199991256,26.67578125,27.546875
90x90,0.6017334000207484,0.45971670001745224,26.8515625,27.765625
95x95,0.7872461001388729,0.4039499000646174,27.2265625,28.87890625
100x100,0.493582499679178,0.3430420998483896,27.5546875,28.53125
150x150,0.8861950002610683,0.6036552996374667,31.73046875,37.671875
200x200,0.9567028000019491,0.5527757997624576,38.2890625,44.0078125
250x250,0.6873296000994742,0.622802700381726,46.0234375,58.1953125
300x300,0.4103467003442347,0.5567847001366317,56.95703125,73.8203125
350x350,0.5285951998084784,0.82270050002262,70.34375,90.8203125
400x400,0.638158299960196,0.8359411000274122,84.55078125,106.0078125
450x450,0.7848709002137184,0.9493696000427008,101.19921875,134.21875
500x500,0.9276507999747992,1.4514403999783099,119.7578125,163.1328125
550x550,1.1571738999336958,3.2979129999876022,140.390625,211.953125
600x600,1.4058357998728752,3.6913119996897876,164.03125,258.93359375
650x650,1.5837063998915255,3.457069099880755,187.59375,277.1640625
700x700,1.8666878999210894,5.094837800133973,211.69921875,339.95703125
750x750,2.0413258001208305,6.024858799763024,240.55078125,381.44921875
800x800,2.2879138998687267,5.79377599991858,270.75390625,411.2265625
850x850,2.4938548002392054,3.176345200277865,302.3203125,438.49609375
900x900,2.8772879000753164,3.929014699999243,339.1875,484.42578125
950x950,3.101562200114131,8.533863299991935,371.65625,595.46484375
1000x1000,3.4846729999408126,4.580025100149214,411.09375,567.60546875
1500x1500,7.899290199857205,15.861859800294042,898.12109375,1325.5078125
