Dimensions,Runtime of Generator (s),Runtime of Solver (s),Peak Memory Usage During Maze Generation (MiB),Peak Memory Usage During Maze Solving (MiB)
5x5,0.8983251000754535,0.49476510006934404,23.34765625,23.359375
10x10,0.8173005999997258,0.4793638000264764,23.39453125,23.40625
15x15,0.6978943001013249,0.45499449991621077,23.515625,23.5234375
20x20,0.5562843000516295,0.4744793998543173,23.58984375,23.61328125
25x25,0.6750014000572264,0.4763844998087734,23.68359375,23.71484375
30x30,0.7008897999767214,0.47260460001416504,23.81640625,23.97265625
35x35,0.8132933001033962,0.5080264999996871,24.08203125,24.125
40x40,0.7862452000845224,0.5087612001225352,24.25,24.6015625
45x45,0.47619349998421967,0.48220730014145374,24.76171875,25.07421875
50x50,0.5849148000124842,0.5309569998644292,25.1484375,25.2890625
55x55,0.7055806999560446,0.5088494999799877,25.40625,25.6484375
60x60,0.818029599962756,0.4100116000045091,25.28515625,25.87890625
65x65,0.8448075000196695,0.4314553998410702,25.8984375,26.40625
70x70,0.4987305998802185,0.3288596000056714,26.0625,26.8046875
75x75,0.8135895000305027,0.3446498999837786,26.44140625,27.59375
80x80,0.9334777998737991,0.6601710000541061,26.9765625,27.63671875
85x85,0.9024894000031054,0.3869107998907566,27.09375,28.73046875
90x90,0.7802842000965029,0.3086078998167068,27.62109375,28.51953125
95x95,0.5515310999471694,0.5820339999627322,28.234375,28.82421875
100x100,0.7700034000445157,0.37484139995649457,28.00390625,29.35546875
150x150,0.913658699952066,0.41489990008994937,32.58203125,36.4453125
200x200,0.7798029000405222,0.5008938000537455,39.38671875,46.72265625
250x250,0.8539695998188108,0.38158880011178553,47.671875,56.55078125
300x300,0.45755910011939704,1.162306600017473,58.35546875,83.6328125
350x350,0.5542438998818398,1.0314169998746365,71.328125,93.234375
400x400,0.696110500022769,1.264859899878502,85.51953125,113.23046875
450x450,0.7894510000478476,0.7551241999026388,101.6171875,130.359375
500x500,0.9806824000552297,1.9258564000483602,120.48046875,168.47265625
550x550,1.1825288000982255,1.9070215001702309,141.0625,187.6640625
600x600,1.3785924999974668,1.9305345001630485,162.8515625,232.68359375
650x650,1.5443531000055373,1.75201590009965,188.015625,253.703125
700x700,1.8102614001836628,5.245319599984214,214.40625,336.08203125
750x750,2.076177899958566,3.159775599837303,241.828125,332.4921875
800x800,2.3426341000013053,3.2285575000569224,270.0703125,364.3515625
850x850,2.5361564999911934,8.033666600007564,303.40234375,501.65234375
900x900,2.8915895998943597,7.060669800033793,338.37890625,526.52734375
950x950,3.094594400143251,5.169095899909735,375.2109375,540.796875
1000x1000,3.5467283001635224,7.729194700019434,413.015625,611.1015625
2000x2000,13.848487900104374,31.23018139996566,1580.6484375,2372.6640625
3000x3000,31.007676400011405,89.78988900012337,3536.1484375,5592.015625
